make,model,colour,capacity,network,grade,condition
Apple,"iPad Air 2 128GB",Working,"Grade A - Very Good Condition",128GB,Grey,"Not Applicable",1
Apple,"iPad Air 2 128GB WiFi + 4G","Brand New","Brand New",128GB,Grey,Unlocked,3
Apple,"iPad Air 2 16GB WiFi","Working - Minor Issue","Grade A - Very Good Condition",16GB,Grey,"Not Applicable",1
Apple,"iPad Air 2 16GB WiFi + 4G","iOS 7 Locked","Grade B B2B",16GB,Silver,Damaged,8
Apple,"IPAD AIR 2 32GB WI FI - MNV22B/A","Brand New","Brand New",32GB,Grey,Unlocked,2
Apple,"IPAD AIR 2 32GB WIFI + 4G",Working,"Grade B - Good Condition",32GB,Gold,Unlocked,1
Apple,"iPad Air 2 64GB WiFi",Working,"Grade C - Acceptable Condition",64GB,Grey,Vodafone,1
Apple,"iPad Air 2 64GB WiFi + 4G",Working,"Grade A - Very Good Condition",64GB,Grey,Unlocked,1
Apple,"iPad Air 32GB WiFi + 4G A1475","Power On Tested-Good LCD",Unknown,32GB,Silver,Unlocked,2
Apple,"iPad Air 32GB WiFi A1474","Power On Tested-Good LCD",Unknown,32GB,Grey,"Not Applicable",1
Apple,"IPAD AIR SMART CASE - MF051ZM/A",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",9
Apple,"IPAD AIR SMART COVER",Working,"Grade B - Good Condition","Not Applicable",Blue,"Not Applicable",26
Apple,"iPad Mini 16GB with Wifi A1432",Working,"Grade A - Very Good Condition",16GB,Grey,"Not Applicable",5
Apple,"iPad Mini 16GB with Wifi and 4G A1454",Working,"Grade B - Good Condition",16GB,Black,Unlocked,17
Apple,"iPad Mini 2 16Gb WiFi 4G A1490","Power On Tested-Good LCD",Unknown,16GB,Silver,Unlocked,3
Apple,"iPad Mini 2 16GB WiFi A1489",Working,"Grade A - Very Good Condition",16GB,Grey,"Not Applicable",2
Apple,"iPad Mini 2 32GB WiFi A1489",Working,"Grade B - Good Condition",32GB,Grey,"Not Applicable",1
Apple,"iPad Mini 3 16GB WiFi",Working,"Grade A - Very Good Condition",16GB,Grey,Unlocked,1
Apple,"iPad Mini 32GB Wifi A1432",Working,"Grade C - Acceptable Condition",32GB,Silver,"Not Applicable",1
Apple,"IPAD MINI 4 128GB 4G",Working,"Insurance Grade",128MB,Grey,Unlocked,2
Apple,"IPAD MINI 4 128GB 4G AND WIFI (A1550)",Working,"Grade B - Good Condition",128GB,"Space Gray",Unlocked,1
Apple,"IPAD MINI 4 16GB 4G",Working,"Grade C - Acceptable Condition",16GB,Gold,Unlocked,6
Apple,"IPAD MINI 4 64GB 4G",Working,"Grade A - Very Good Condition",64GB,Grey,Unlocked,1
Apple,"IPAD MINI 4 64GB WI-FI",Working,"Grade A - Very Good Condition",64GB,Grey,"Not Applicable",1
Apple,"IPAD MINI 4 SILICON CASE","Brand New","Brand New","Not Applicable",Blue,"Not Applicable",1
Apple,"IPAD MINI SMART CASE",Working,"Insurance Grade","Not Applicable",Beige,"Not Applicable",6
Apple,"IPAD MINI SMART COVER",Working,"Grade A - Very Good Condition","Not Applicable",Blue,"Not Applicable",12
Apple,"IPAD PRO 10.5-INCH SMART COVER - MQ082ZM/A",Working,"Grade A - Very Good Condition","Not Applicable",Grey,"Not Applicable",10
Apple,"IPAD PRO 10.5-INCH WI-FI+4G A1709",Working,"Grade C - Acceptable Condition",64GB,"ROSE GOLD",Unlocked,4
Apple,"IPAD PRO 12.9 128GB A1584",Working,"Insurance Grade",128GB,Gold,"Not Applicable",1
Apple,"IPAD PRO 12.9 INCH 128GB A1652","Power On Tested-Good LCD",Unknown,128GB,Grey,Unlocked,3
Apple,"IPAD PRO 12.9 INCH WI-FI+4G 512GB","Brand New","Brand New",512GB,Gold,Unlocked,3
Apple,"IPAD PRO 12.9-INCH SMART COVER - MQ0G2ZM/A","Brand New","Brand New","Not Applicable",Grey,"Not Applicable",1
Apple,"Ipad pro 128Gb 4G",Working,"Grade A - Very Good Condition",128GB,Grey,Unlocked,1
Apple,"ipad pro 128GB wifi",Working,"Grade B - Good Condition",128GB,Silver,"Not Applicable",2
Apple,"IPAD PRO 2ND GENERATION 12.9 INCH (A1671) 64GB",Working,"Insurance Grade",64GB,Silver,Unlocked,1
Apple,"IPAD PRO 2ND GENERATION 12.9INCH 256GB WIFI+CELLULAR",Working,"Grade A - Very Good Condition",256GB,Grey,Unlocked,2
Apple,"Ipad pro 32gb wifi",Working,"Grade A - Very Good Condition",32GB,Gold,"Not Applicable",5
Apple,"IPAD PRO 6TH GENERATION (A1954) 128GB WIFI AND CELLULAR","Brand New","Brand New",128GB,Gold,Unlocked,2
Apple,"IPAD PRO 6TH GENERATION (A1954) 32GB WIFI AND CELLULAR","Non-working - Need Repair - HardWare","Not Graded",32GB,"ROSE GOLD",Unlocked,4
Apple,"IPAD PRO 9.7 INCH 256GB WIFI A1673",Working,"Grade A - Very Good Condition",256GB,Grey,"Not Applicable",1
Apple,"IPAD PRO 9.7 INCH 32GB A1674",Working,"Grade C - Acceptable Condition",32GB,Grey,Unlocked,7
Apple,"IPAD PRO A1709 - 10.5 INCH 256GB WIFI 4G",Working,"Grade A - Very Good Condition",256GB,"ROSE GOLD",Unlocked,2
Apple,"IPAD PRO WIFI 4G 32GB",Working,"Grade C - Acceptable Condition",32GB,"ROSE GOLD",O2,3
Apple,"IPAD SMART COVER - MC949ZM/A",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",9
Apple,"IPAD SMART COVER 9.7 MQ4L2ZM/A",Working,"Insurance Grade","Not Applicable",Grey,"Not Applicable",3
Apple,"IPAD SMART COVER MC945ZM/A","Brand New","Insurance Grade","Not Applicable",Orange,"Not Applicable",1
Apple,"IPAD SMART COVER MD301ZM/A",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",1
Apple,"IPAD SMART COVER MD302ZM/A",Working,"Grade B - Good Condition","Not Applicable",Tan,"Not Applicable",1
Apple,"IPAD SMART COVER MD306ZM/A",Working,"Insurance Grade","Not Applicable",Grey,"Not Applicable",2
Apple,"IPAD SMART COVER MD307ZM/A",Working,"Grade A - Very Good Condition","Not Applicable",Grey,"Not Applicable",2
Apple,"iPhone 3G 16GB A1241","iOS 7 Locked","Not Graded",16GB,White,Damaged,14
Apple,"iPhone 3G 8GB A1241",Non-working,Unknown,8GB,Black,Unknown,9
Apple,"iPhone 3GS 16GB A1303",Non-working,Unknown,16GB,Black,"UK Unlocked Only",113
Apple,"iPhone 3GS 32GB A1303","Non-working - Need Repair - Software","Grade B - Good Condition",32GB,Black,"EE Network",42
Apple,"iPhone 3GS 8GB A1303","Brand New","Insurance Grade",8GB,Black,Unlocked,21
Apple,"iPhone 4 16GB A1332","Brand New","Insurance Grade",16GB,Black,"UK Unlocked Only",63
Apple,"iPhone 4 32GB A1332",BER,"Grade A - Very Good Condition",32GB,Black,Unlocked,4
Apple,"iPhone 4 8GB A1332",Working,"Grade C - Acceptable Condition",8GB,Black,Orange,67
Apple,"IPhone 4s 16GB A1387","Brand New","Insurance Grade",16GB,White,"UK Unlocked Only",90
Apple,"IPhone 4s 32GB A1387","Brand New","Insurance Grade",32GB,Black,Unlocked,3
Apple,"IPhone 4s 64GB A1387",Working,"Grade B B2B",64GB,White,Unlocked,1
Apple,"iPhone 4s 8GB A1387",BER,"Not Graded",8GB,Black,Unknown,81
Apple,"iPhone 5 16GB A1429","Brand New","Insurance Grade",16GB,Black,"UK Unlocked Only",173
Apple,"iPhone 5 32GB A1429",Working,"Grade C - Acceptable Condition",32GB,Black,Unlocked,8
Apple,"iPhone 5 64GB A1429","Working – Major Screen Burn","Grade D",64GB,Black,Unlocked,6
Apple,"iPhone 5C 16GB A1507",Working,"Grade A - Very Good Condition",16GB,Blue,Unlocked,81
Apple,"iPhone 5C 32GB A1507","Non-working - Need Repair - HardWare",Unknown,32GB,White,Unlocked,2
Apple,"iPhone 5C 8GB A1507","iOS 7 Locked","Grade A - Very Good Condition",8GB,White,Unlocked,68
Apple,"IPHONE 5C CASE - MF036ZM/A","Brand New","Insurance Grade","Not Applicable",Pink,"Not Applicable",1
Apple,"iPhone 5C White 16GB","Brand New","Insurance Grade",16GB,White,Unlocked,1
Apple,"iPhone 5C Yellow 16GB","Working – Minor Screen Burn","Grade B - Good Condition",16GB,Yellow,Vodafone,1
Apple,"iPhone 5S 16GB A1457","Power On Tested-Good LCD","Grade C - Acceptable Condition",16GB,Grey,Unknown,736
Apple,"iPhone 5S 32GB A1457","Brand New","Insurance Grade",32GB,White,Unlocked,15
Apple,"iPhone 5S 64GB A1457",Working,"Insurance Grade",64GB,Gold,Unlocked,6
Apple,"iPhone 5S Black 16GB","Account Locked Disposal","Grade C - Acceptable Condition",16GB,Grey,Vodafone,2
Apple,"iPhone 5S Gold 16GB","Working – Minor Screen Burn","Grade B - Good Condition",16GB,Gold,Unlocked,1
Apple,"iPhone 5S Silver 16GB",Working,"Grade B B2B",16GB,Grey,Unlocked,4
Apple,"iPhone 5S Silver 64GB","iOS 7 Locked","Grade D",64GB,Silver,Damaged,1
Apple,"IPHONE 6 - WHITE BOX","Use For Parts","Grade A - Very Good Condition",16GB,Grey,"Not Applicable",126
Apple,"iPhone 6 128GB","Use For Parts","Grade D",128GB,Grey,Unlocked,33
Apple,"iPhone 6 16GB",Working,"Grade A - Very Good Condition",16GB,White,"EE Network",1077
Apple,"iPhone 6 16GB Plus","Brand New","Insurance Grade",16GB,Grey,Unlocked,11
Apple,"IPHONE 6 32GB",Working,"Grade C - Acceptable Condition",32GB,Grey,Unlocked,36
Apple,"iPhone 6 64GB","Brand New","Insurance Grade",64GB,Silver,O2,434
Apple,"iPhone 6 Plus 128GB","Working – Major Screen Burn","Grade C - Acceptable Condition",128GB,Silver,Unlocked,7
Apple,"iPhone 6 Plus 16GB",Working,"Grade D",16GB,Gold,Unlocked,62
Apple,"iPhone 6 Plus 64GB","Brand New","Insurance Grade",64GB,Grey,"EE Network",26
Apple,"IPHONE 6 PLUS APPLE PRE-OWNED BOXES",Working,"Grade A - Very Good Condition",16GB,Gold,"Not Applicable",9
Apple,"IPHONE 6 PLUS SILICONE CASE - MGR92ZM/A","Brand New","Insurance Grade","Not Applicable",Black,"Not Applicable",3
Apple,"IPHONE 6/6S LEATHER CASE RED - MGR82ZM/A","Brand New","Insurance Grade","Not Applicable",Red,"Not Applicable",1
Apple,"IPHONE 6/6S SILICONE CASE ",Working,"Grade A - Very Good Condition","Not Applicable",White,"Not Applicable",5
Apple,"IPHONE 6/6S SILICONE CASE WHITE - MGRF2ZM/A","Brand New","Insurance Grade","Not Applicable",White,"Not Applicable",4
Apple,"IPHONE 6S",Working,"Grade B - Good Condition",64GB,Grey,Three(3),200
Apple,"Iphone 6s 128GB",Working,"Grade A - Very Good Condition",128GB,Grey,Unlocked,22
Apple,"Iphone 6S 16gb","Brand New","Insurance Grade",16GB,Pink,O2,589
Apple,"IPHONE 6S 32GB",Working,"Grade C - Acceptable Condition",32GB,Grey,Unlocked,168
Apple,"Iphone 6S 64gb","Brand New","Insurance Grade",64GB,Grey,"EE Network",228
Apple,"IPHONE 6S PLUS",Working,"Grade B - Good Condition",16GB,Pink,Vodafone,32
Apple,"Iphone 6s plus 128gb",Working,"Grade B - Good Condition",128GB,Silver,Unlocked,9
Apple,"Iphone 6s plus 16gb","Use For Parts","Grade B - Good Condition",16GB,Gold,Unknown,145
Apple,"IPHONE 6S PLUS 32GB",Working,"Grade C - Acceptable Condition",32GB,Grey,Vodafone,30
Apple,"Iphone 6s plus 64gb",Working,"Grade A - Very Good Condition",64GB,Silver,Unlocked,65
Apple,"IPHONE 7 128 GB",Working,"Grade D",128GB,Black,Unlocked,119
Apple,"IPHONE 7 256 GB",Working,"Grade A - Very Good Condition",256GB,Black,Unlocked,24
Apple,"IPHONE 7 32 GB","Brand New","Insurance Grade",32GB,Pink,Unlocked,484
Apple,"IPHONE 7 LEATHER CASE",Working,"Grade C - Acceptable Condition","Not Applicable",Black,"Not Applicable",98
Apple,"IPHONE 7 LEATHER CASE - FBA UK","Brand New","Brand New","Not Applicable",Blue,"Not Applicable",3
Apple,"IPHONE 7 PLUS 128 GB",Working,"Grade B - Good Condition",128GB,Black,Unlocked,31
Apple,"IPHONE 7 PLUS 256 GB",Working,"Grade A - Very Good Condition",256GB,Black,Unlocked,10
Apple,"IPHONE 7 PLUS 32GB",Working,"Grade A - Very Good Condition",32GB,Black,O2,86
Apple,"IPHONE 7 PLUS SILICONE CASE",Working,"Insurance Grade","Not Applicable",Black,"Not Applicable",18
Apple,"IPHONE 7 PLUS SILICONE CASE - FBA UK","Brand New","Brand New","Not Applicable",Blue,"Not Applicable",6
Apple,"IPHONE 7 SILICONE CASE","Brand New","Brand New","Not Applicable","Pink Sand","Not Applicable",25
Apple,"IPHONE 7 SILICONE CASE - FBA UK","Brand New","Brand New","Not Applicable","Pink Sand","Not Applicable",11
Apple,"IPHONE 7 SMART BATTERY CASE","Brand New","Insurance Grade","Not Applicable",Black,"Not Applicable",49
Apple,"IPHONE 8",Working,"Grade B - Good Condition",64GB,Gold,Unlocked,96
Apple,"IPHONE 8 PLUS",Working,"Grade A - Very Good Condition",64GB,Grey,Unlocked,51
Apple,"IPHONE 8 PLUS SILICONE CASE",Working,"Insurance Grade","Not Applicable",Black,"Not Applicable",5
Apple,"IPHONE 8 SILICONE CASE",Working,"Insurance Grade","Not Applicable",Black,"Not Applicable",23
Apple,"IPHONE LIGHTNING DOCK","Brand New","Insurance Grade","Not Applicable",Gold,"Not Applicable",27
Apple,"IPHONE SE",Working,"Grade B - Good Condition",16GB,Gold,Unlocked,47
Apple,"IPHONE SE 128GB",Working,"Insurance Grade",128GB,Silver,Unlocked,1
Apple,"IPHONE SE 16GB",Working,"Grade B - Good Condition","Not Applicable",Silver,"Not Applicable",157
Apple,"IPHONE SE 32GB",Working,"Grade A - Very Good Condition",32GB,Grey,Unlocked,43
Apple,"IPHONE SE 64GB",Working,"Grade B - Good Condition","Not Applicable",Grey,"Not Applicable",54
Apple,"IPHONE SE LEATHER CASE",Working,"Insurance Grade","Not Applicable",Blue,"Not Applicable",3
Apple,"IPHONE SE LEATHER CASE - FBA UK","Brand New","Brand New","Not Applicable",Black,"Not Applicable",2
Apple,"IPHONE X","Brand New","Brand New",256GB,Silver,Unlocked,77
Apple,"IPHONE X - REPLACEMENT LCD TOUCH SCREEN DIGITIZER ASSEMBLY",Working,"Insurance Grade","Not Applicable",Black,"Not Applicable",9
Apple,"IPHONE X LEATHER CASE",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",4
Apple,"IPHONE X LEATHER CASE - FBA UK","Brand New","Brand New","Not Applicable",Black,"Not Applicable",2
Apple,"IPHONE X SILICONE CASE",Working,"Insurance Grade","Not Applicable",Black,"Not Applicable",16
Apple,"IPHONE XS","Brand New","Brand New",64GB,Gold,Vodafone,3
Apple,"iPod Classic 120GB","Working – Major Screen Burn","Grade C - Acceptable Condition","Not Applicable",Silver,"Not Applicable",1
Apple,"iPod Classic 120GB 7th gen",Working,"Grade D","Not Applicable",Grey,"Not Applicable",1
Apple,"ipod classic 80gb",Working,"Grade C - Acceptable Condition",80GB,Black,"Not Applicable",1
Apple,"iPod Nano 2GB 2nd gen",Working,"Grade C - Acceptable Condition",2GB,Silver,"Not Applicable",1
Apple,"iPod Nano 4GB 3rd gen",Working,"Grade D",4GB,Silver,"Not Applicable",1
Apple,"IPOD TOUCH 16GB 6TH GEN",Non-working,Unknown,16GB,Gold,"Not Applicable",8
Apple,"iPod Touch 1st gen 16GB ",Non-working,"Grade C - Acceptable Condition",16GB,Black,"Not Applicable",1
Apple,"ipod touch 1st gen 8gb",Working,"Grade C - Acceptable Condition",8GB,Silver,"Not Applicable",1
Apple,"iPod Touch 3rd Generation 32GB",Working,"Grade C - Acceptable Condition",32GB,Silver,"Not Applicable",1
Apple,"iPod Touch 4th gen 16GB ","Account Locked Disposal","Grade C - Acceptable Condition",16GB,Silver,"Not Applicable",4
Apple,"iPod Touch 4th gen 32GB ",Working,"Grade C - Acceptable Condition",32GB,Silver,"Not Applicable",1
Apple,"iPod Touch 4th gen 8GB ",BER,"Not Graded",8GB,Silver,"Not Applicable",4
Apple,"iPod Touch 5th Generation 16GB","Account Locked Disposal","Grade C - Acceptable Condition",16GB,Silver,"Not Applicable",6
Apple,"iPod Touch 5th Generation 32GB",Working,"Grade C - Acceptable Condition",32GB,Blue,"Not Applicable",1
Apple,"iPod Touch 5th Generation 64GB",Working,"Grade A - Very Good Condition",64GB,Grey,"Not Applicable",1
Apple,"IPOD TOUCH 6TH GENERATION",Working,"Grade A - Very Good Condition","Not Applicable",Pink,"Not Applicable",4
Apple,"iWatch  42mm",Working,"Grade D","Not Applicable",Black,"Not Applicable",6
Apple,"IWATCH NIKE+ 38MM",Working,"Insurance Grade","Not Applicable",Silver,"Not Applicable",1
Apple,"IWATCH NIKE+ 42MM",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",3
Apple,"IWATCH NIKE+ 42MM ANTENNA",Working,"Grade A - Very Good Condition","Not Applicable",Unknown,"Not Applicable",2
Apple,"IWATCH NIKE+ 42MM BATTERY",Working,"Grade A - Very Good Condition","Not Applicable",Unknown,"Not Applicable",2
Apple,"IWATCH NIKE+ 42MM CHASSIS",Working,"Grade A - Very Good Condition","Not Applicable",Grey,"Not Applicable",2
Apple,"IWATCH NIKE+ 42MM DISPLAY",Working,"Grade C - Acceptable Condition","Not Applicable",Unknown,"Not Applicable",3
Apple,"IWATCH NIKE+ 42MM SPEAKER",Working,"Grade B - Good Condition","Not Applicable",Unknown,"Not Applicable",1
Apple,"IWATCH NIKE+ 42MM STRAP",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",2
Apple,"IWATCH NIKE+ 42MM TAPTIC ENGINE",Working,"Grade A - Very Good Condition","Not Applicable",Unknown,"Not Applicable",3
Apple,"IWATCH S1 38MM",Working,"Grade A - Very Good Condition","Not Applicable","ROSE GOLD","Not Applicable",7
Apple,"IWATCH S1 42MM",Working,"Grade C - Acceptable Condition","Not Applicable",Grey,"Not Applicable",19
Apple,"IWATCH S1 42MM BATTERY",Working,"Grade A - Very Good Condition","Not Applicable",Unknown,"Not Applicable",12
Apple,"IWATCH S1 42MM CHASSIS",Working,"Grade A - Very Good Condition","Not Applicable",Grey,"Not Applicable",7
Apple,"IWATCH S1 42MM SPEAKER",Working,"Grade A - Very Good Condition","Not Applicable",Unknown,"Not Applicable",6
Apple,"IWATCH S1 42MM STRAP",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",11
Apple,"IWATCH S1 42MM TAPTIC ENGINE",Working,"Grade A - Very Good Condition","Not Applicable",Unknown,"Not Applicable",6
Apple,"IWATCH S2 38MM",Working,"Grade A - Very Good Condition","Not Applicable",Grey,"Not Applicable",2
Apple,"IWATCH S2 42MM",Working,"Grade C - Acceptable Condition","Not Applicable",Grey,"Not Applicable",6
Apple,"IWATCH S2 42MM ANTENNA",Working,"Grade A - Very Good Condition","Not Applicable",Unknown,"Not Applicable",3
Apple,"IWATCH S2 42MM BATTERY",Working,"Grade A - Very Good Condition","Not Applicable",Unknown,"Not Applicable",4
Apple,"IWATCH S2 42MM CHASSIS",Working,"Grade B - Good Condition","Not Applicable",Grey,"Not Applicable",4
Apple,"IWATCH S2 42MM DISPLAY",Working,"Grade A - Very Good Condition","Not Applicable",Unknown,"Not Applicable",3
Apple,"IWATCH S2 42MM SPEAKER",Working,"Grade A - Very Good Condition","Not Applicable",Unknown,"Not Applicable",4
Apple,"IWATCH S2 42MM STRAP",Working,"Grade A - Very Good Condition","Not Applicable",Grey,"Not Applicable",3
Apple,"IWATCH S2 42MM TAPTIC ENGINE",Working,"Grade A - Very Good Condition","Not Applicable",Unknown,"Not Applicable",3
Apple,"IWATCH S2 NIKE+ 38MM ","Power On Tested-Good LCD",Unknown,"Not Applicable",Grey,"Not Applicable",2
Apple,"IWATCH S2 NIKE+ 42MM","Power On Tested-Good LCD",Unknown,"Not Applicable",Silver,"Not Applicable",4
Apple,"iWatch Sport 38mm",Working,"Grade A - Very Good Condition","Not Applicable","ROSE GOLD","Not Applicable",15
Apple,"IWATCH SPORT 38MM BATTERY",Working,"Grade A - Very Good Condition","Not Applicable",Unknown,"Not Applicable",10
Apple,"IWATCH SPORT 38MM DISPLAY",Working,"Grade A - Very Good Condition","Not Applicable",Unknown,"Not Applicable",11
Apple,"IWATCH SPORT 38MM NFC ANTENNA",Working,"Grade A - Very Good Condition","Not Applicable",Unknown,"Not Applicable",11
Apple,"IWATCH SPORT 38MM STRAP",Working,"Grade A - Very Good Condition","Not Applicable",White,"Not Applicable",13
Apple,"IWATCH SPORT 38MM TAPTIC ENGINE",Working,"Grade A - Very Good Condition","Not Applicable",Unknown,"Not Applicable",7
Apple,"iWatch Sport 42mm",Working,"Grade B - Good Condition","Not Applicable",Orange,"Not Applicable",13
Apple,"LEATHER CASE FOR APPLE IPHONE 6 - MGR32ZM/A",Working,"Grade B - Good Condition","Not Applicable",Blue,"Not Applicable",2
Apple,"LEATHER CASE FOR APPLE IPHONE 6 PLUS",Working,"Grade B - Good Condition","Not Applicable",Blue,"Not Applicable",8
Apple,"LEATHER CASE FOR IPHONE 6 - MGR62ZM/A",Working,"Insurance Grade","Not Applicable",Black,"Not Applicable",3
Apple,"LEATHER CASE IPHONE 7 PLUS",Working,"Grade C - Acceptable Condition","Not Applicable",Tan,"Not Applicable",251
Apple,"LEATHER CASE IPHONE 7 PLUS - FBA UK","Brand New","Brand New","Not Applicable",Tan,"Not Applicable",69
Apple,"LEATHER SMART COVER IPAD2 MC948ZM",Working,"Grade B - Good Condition","Not Applicable",Tan,"Not Applicable",2
Apple,"LIGHTNING DIGITAL AV ADAPTER  MD826ZM/6",Working,"Grade A - Very Good Condition","Not Applicable",White,"Not Applicable",5
Apple,"LIGHTNING TO 30-PIN ADAPTER - MD823ZM/A","Brand New","Insurance Grade","Not Applicable",White,"Not Applicable",114
Apple,"LIGHTNING TO 30-PIN ADAPTER 0.2M - MD824ZM/A","Brand New","Brand New","Not Applicable",White,"Not Applicable",20
Apple,"LIGHTNING TO HEADPHONE JACK ADAPTER","Brand New","Brand New","Not Applicable",White,"Not Applicable",46
Apple,"LIGHTNING TO MICRO USB ADAPTER",Working,"Grade A - Very Good Condition","Not Applicable",White,"Not Applicable",3
Apple,"LIGHTNING TO USB CABLE - MD818ZM/A",Working,"Grade B - Good Condition","Not Applicable",White,"Not Applicable",610
Apple,"LIGHTNING TO USB CABLE 0.5M - ME291ZM/A",Working,"Grade A - Very Good Condition","Not Applicable",White,"Not Applicable",28
Apple,"LIGHTNING TO USB CABLE 2M - MD819ZM/A ",Working,"Grade A - Very Good Condition","Not Applicable",White,"Not Applicable",4
